step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,book1foliocoverf,0.5190936864428144,0.4994733512174929,1.6775599128540308,,What am I looking at right now,"This is the Historia general de las cosas de Nueva España General. ",,Learn More,night-omens-from-translation.md,,,,,
2,book5folioir,0.4630872097012956,0.4211326553402795,1.5551999999999997,,So what does this say?,"-Libro quinto que trata de los agüeros y prenósticos que estos naturales tomaban de algunas aves, animales y sabandixas para adivinar las cosas futuras
-Fifth book, which deals with the omens and predictions that these natives interpreted from some birds, animals, and bugs in order to foretell future events",,,,,,,,
3,book5folio13r,0.49344880251961554,0.3927557093322514,1.44,,What did they consider omens?,"The bottom half of this folio begins the Thirteenth Chapter, Omens that appear at night. ",,Learn More,night-omens-from-cuitlapanton-centlapachton.md,Go deeper,night-omens-from-restroom-anxieties.md,,,
4,book5folio12v13v,0.532730502915452,0.6184178679001721,1,,Who is that person all wrapped up?,That is the dead.,,Learn more,night-omens-from-zombie-or-trickster.md,,,,,
5,book5folio16v,0.5273850440234468,0.4942988266384132,0.9000000000000001,,What is this page?,"This page is Folio 16v of the fifth book from the Florentine Codex. ",,"The Fifth Book ",night-omens-from-the-purpose-of.md,,,,,
6,book5folio16v,0.4298834379916962,0.31231024332793816,2.857583452211127,,Who are they?,"They are a Nahua family. To the left the oldest sibling, at the center is the mom, to the right the youngest.",,How do we know who are they?,night-omens-from-the-nahua-family.md,,,,,
7,book5folio16v,0.4195347824081242,0.22981049677813478,2.857583452211127,,What is this scene?,"This scene portrays a popular superstition that was relevant to how siblings interacted with each other through superstitions. ",,"The Family Dynamic... ",night-omens-from-the-scene.md,,,,,
8,book5folio7r,0.38771534806160524,0.7264928411027467,2.6818568264307867,,Why was the owl seen as a bad omen?,"In the book, the owl's song was believed to warn of death in the future, sickness, or other disaster. ",,Learn more,night-omens-from-owls-call.md,,,,,
9,book5folio7r,0.47829256502373146,0.29159799496869676,1.2830713680994086,,How are the versions of the owl omen different?,"While the Spanish version summarizes it more broadly, the Nahuatl version gives more details/description of the consequences of the bad omen. ",,Learn more,night-omens-from-two-versions-of.md,,,,,
10,book5folio7r,0.6742107980246719,0.6102520406109252,1.3213010904802258,,How did they respond to the Omen?,"In the text, they seek an omen interpreter to seek guidance on what to do next. ",,Learn more,night-omens-from-response-to-the.md,,,,,
11,book5folio6v,0.4005747617405836,0.3969423870374255,3.4363166953528403,,Who are the man?,"The man in the left is a warrior. The man on the right is headless and has an open chest wound, he is a ghost. ",,Who are they?,night-omens-from-learn-more.md,,,,,
12,book5folio6v,0.4454127959236487,0.3998297973173746,5.206148655335629,,"What does one obtain? ","The headless man resembles the ghost that knocks at night which sounds like someone cutting wood. They represent a bad omen named yohualtepuztli, it means “night ax.”",,Learn more,night-omens-from-step12-layer1.md,,,,,
13,book5folio6v,0.504852864681155,0.4070768533890623,5.180247418244407,,Why does the background matter?,"The time of the day greatly mattered when this omen would occur, which was during the night and open field. ",,Background Context,night-omens-from-step13-layer1.md,,,,,
